category,svm_accuracy,svm_f1,sota_accuracy,sota_f1,sample_count,better_accuracy,better_f1
Action,0.9477351916376306,0.947426268547353,0.5714285714285714,0.5712411791140855,287,SVM,SVM
Adventure,0.9475982532751092,0.9450839328537171,0.5764192139737991,0.5743412858100987,229,SVM,SVM
Animation,0.9264705882352942,0.9071799071799072,0.5735294117647058,0.5374149659863945,68,SVM,SVM
Comedy,0.9477124183006536,0.9475308641975309,0.6078431372549019,0.6064814814814815,153,SVM,SVM
Crime,0.9557522123893806,0.9555293191656828,0.5575221238938053,0.5572100313479624,113,SVM,SVM
Drama,0.9219512195121952,0.9218601105393558,0.6097560975609756,0.6076555023923444,205,SVM,SVM
Family,0.9367088607594937,0.9313878756296682,0.5822784810126582,0.5779504613890238,79,SVM,SVM
Fantasy,0.9223300970873787,0.9210727969348659,0.5145631067961165,0.5145173453996983,103,SVM,SVM
History,0.9166666666666666,0.90625,0.5416666666666666,0.5208711433756805,24,SVM,SVM
Horror,0.9173553719008265,0.9077743902439024,0.5785123966942148,0.558109559613319,121,SVM,SVM
Music,0.9090909090909091,0.8952380952380952,0.5454545454545454,0.47619047619047616,11,SVM,SVM
Mystery,0.9365079365079365,0.936491935483871,0.49206349206349204,0.49193548387096775,63,SVM,SVM
Romance,0.9016393442622951,0.9003267973856208,0.6065573770491803,0.5878378378378378,61,SVM,SVM
Science Fiction,0.9623655913978495,0.959558937723249,0.5591397849462365,0.5528846153846154,186,SVM,SVM
Thriller,0.9381443298969072,0.9381443298969072,0.6030927835051546,0.6029978472905095,194,SVM,SVM
War,0.9333333333333333,0.9282296650717703,0.4666666666666667,0.4444444444444444,15,SVM,SVM
Western,0.9285714285714286,0.9181286549707601,0.5714285714285714,0.5625,14,SVM,SVM
